season,week,player_id,receiver,targets,avg_air_yards,avg_cpoe,target_quality_score,td_rate,data_source
2018,1,00-0029632,M.Sanu,6,8.166667,5.63942,0.16118339,0.0,pbp_proxy
2018,1,00-0029664,J.Gordon,3,33.0,1.3744692,0.38088495,0.33333334,pbp_proxy
2018,1,00-0029738,D.Fells,1,-4.0,12.286425,0.6633129,0.0,pbp_proxy
2018,1,00-0029892,K.Juszczyk,2,16.5,-8.163479,0.26847345,0.0,pbp_proxy
2018,1,00-0029931,Z.Line,1,3.0,-82.58059,-2.5380237,0.0,pbp_proxy
2018,1,00-0030035,A.Thielen,12,13.083333,-12.417796,-0.26784098,0.0,pbp_proxy
2018,1,00-0030061,Z.Ertz,10,7.8,-16.959085,-0.59076524,0.0,pbp_proxy
2018,1,00-0030068,M.Goodwin,1,1.0,-85.15085,-2.600242,0.0,pbp_proxy
2018,1,00-0030085,K.Stills,5,16.0,16.975513,0.95318687,0.4,pbp_proxy
2018,1,00-0030089,L.Willson,1,14.0,-73.85888,-3.0,0.0,pbp_proxy
2018,1,00-0030107,T.Riddick,7,1.0,-8.521233,-0.59803075,0.0,pbp_proxy
2018,1,00-0030108,R.Griffin,5,12.0,-51.462364,-1.8786008,0.0,pbp_proxy
2018,1,00-0030181,J.Doyle,10,5.9,0.9063894,-0.41758883,0.0,pbp_proxy
2018,1,00-0030216,J.Hill,1,-6.0,10.328281,0.7726149,0.0,pbp_proxy
2018,1,00-0030279,K.Allen,11,8.636364,6.2634006,0.3601279,0.09090909,pbp_proxy
2018,1,00-0030288,R.Burkhead,3,8.333333,-27.714432,-0.8878361,0.0,pbp_proxy
2018,1,00-0030300,J.Brown,3,28.0,-10.393389,-0.019061487,0.0,pbp_proxy
2018,1,00-0030404,C.Thompson,7,1.5714285,17.08691,0.76208174,0.14285715,pbp_proxy
2018,1,00-0030414,S.Ware,1,4.0,27.41856,0.81301147,0.0,pbp_proxy
2018,1,00-0030422,D.Sims,3,9.333333,9.228665,0.19421075,0.0,pbp_proxy
2018,1,00-0030431,R.Woods,9,17.88889,-18.071815,-0.53048605,0.0,pbp_proxy
2018,1,00-0030443,L.Toilolo,1,4.0,22.758097,0.58635753,0.0,pbp_proxy
2018,1,00-0030456,G.Bernard,1,3.0,19.008005,0.60837555,0.0,pbp_proxy
2018,1,00-0030472,J.Reed,5,5.6,15.496388,0.7781125,0.2,pbp_proxy
2018,1,00-0030506,T.Kelce,6,15.333333,-36.92488,-0.9553957,0.0,pbp_proxy
2018,1,00-0030521,J.Hunter,5,19.6,-30.855682,-0.78838706,0.0,pbp_proxy
2018,1,00-0030542,T.Williams,2,10.5,-18.164492,-0.6244536,0.0,pbp_proxy
2018,1,00-0030549,T.Eifert,3,6.6666665,22.666351,0.67251605,0.0,pbp_proxy
2018,1,00-0030564,D.Hopkins,11,10.818182,8.635713,0.2586977,0.0,pbp_proxy
2018,1,00-0030578,C.Patterson,1,0.0,25.519878,0.91324836,0.0,pbp_proxy
2018,1,00-0030663,W.Snead,6,8.166667,-4.4766803,-0.078602314,0.16666667,pbp_proxy
2018,1,00-0030669,A.Wilson,4,6.0,8.59304,0.37465334,0.0,pbp_proxy
2018,1,00-0030710,T.Burton,5,12.2,-37.521,-1.0718218,0.0,pbp_proxy
2018,1,00-0030737,F.Martino,1,3.0,-48.186764,-2.179019,0.0,pbp_proxy
2018,1,00-0030821,A.Hurns,3,15.666667,-22.821665,-0.6066779,0.0,pbp_proxy
2018,1,00-0030854,E.Swoope,1,2.0,45.200718,1.6641692,0.0,pbp_proxy
2018,1,00-0031023,Q.Enunwa,9,7.0,-3.1420796,0.00791431,0.11111111,pbp_proxy
2018,1,00-0031045,C.Hyde,2,-4.5,-31.842304,-1.0019213,0.0,pbp_proxy
2018,1,00-0031051,J.Brown,5,11.75,18.81023,0.5484308,0.2,pbp_proxy
2018,1,00-0031060,D.Thomas,2,21.0,-7.3571043,-0.07648305,0.5,pbp_proxy
2018,1,00-0031062,J.White,9,4.111111,-25.562586,-0.85497653,0.11111111,pbp_proxy
2018,1,00-0031068,R.Grant,9,6.5555553,12.46458,0.29468966,0.0,pbp_proxy
2018,1,00-0031166,S.Roberts,1,0.0,29.864233,1.373575,0.0,pbp_proxy
2018,1,00-0031189,T.Jones,3,8.666667,-34.575756,-1.0741098,0.0,pbp_proxy
2018,1,00-0031228,T.Gabriel,5,1.2,21.708551,0.49892062,0.0,pbp_proxy
2018,1,00-0031235,O.Beckham,15,9.733334,9.897749,0.24366456,0.0,pbp_proxy
2018,1,00-0031236,B.Cooks,8,11.0,-6.0000043,-0.11098609,0.0,pbp_proxy
