"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Gunner Olszewski","NE","3","WR","3","3","0","52","0","1","0","0","100","6.67","17.33","17.33","10.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2","0.71","4.73"
"Malik Taylor","GB","3","WR","1","1","0","14","0","0","0","0","100","2","14","14","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4","0.24","2.4"
"Brandon Aiyuk","SF","4","WR","40","25","1","302","1","2","0","4","62.5","9.13","7.55","12.08","4.88","6","4","2","15","16","100","2","1","5","4","50","1","0","16","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.8","0.28","2.76"
"Vyncint Smith","NYJ","1","WR","2","0","0","0","0","0","0","0","0","13.5","0","0","0","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marquise Brown","BLT","5","WR","32","22","2","253","0","5","1","3","68.8","9.94","7.91","11.5","4.09","10","7","4","31.3","31.8","80","5","4","15.6","18.2","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.3","0.33","3.51"
"Donovan Peoples-Jones","CLV","4","WR","14","9","1","232","0","1","1","1","64.3","20","16.57","25.78","8","3","0","0","21.4","0","0","1","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","38.2","0.26","4.24"
"Tee Higgins","CIN","5","WR","30","19","0","235","0","1","0","3","63.3","10.03","7.83","12.37","4.16","5","3","1","16.7","15.8","100","1","1","3.3","5.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.5","0.21","2.55"
"Jerry Jeudy","DEN","5","WR","34","15","1","267","1","1","1","7","44.1","12.38","7.85","17.8","7.07","3","1","0","8.8","6.7","0","1","0","2.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.7","0.18","3.38"
"Derrick Willies","CLV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dezmon Patmon","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"A.J. Brown","TEN","5","WR","40","30","2","437","2","3","0","2","75","12.8","10.93","14.57","3.87","4","4","3","10","13.3","100","2","2","5","6.7","66.7","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","97.7","0.37","3.26"
"Calvin Ridley","ATL","5","WR","57","36","1","577","4","2","0","5","63.2","15.07","10.12","16.03","3.86","13","5","2","22.8","13.9","100","7","1","12.3","2.8","50","1","0","-7","0","0","0","-7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","117","0.41","3.16"
"Darnell Mooney","CHI","5","WR","33","25","1","246","0","2","0","2","75.8","5.76","7.45","9.84","7.52","7","5","2","21.2","20","100","2","0","6.1","0","0","3","0","23","0","0","0","7.67","1","0","0","0","1","0","33.3","0","0","0","0","0","0","0","63.9","0.25","2.28"
"Robert Foster","WAS","3","WR","6","2","0","37","0","0","0","1","33.3","14.17","6.17","18.5","16","1","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7","0.26","2.85"
"Terry McLaurin","WAS","4","WR","30","18","0","155","0","1","0","2","60","8.57","5.17","8.61","2.5","5","2","1","16.7","11.1","100","3","1","10","5.6","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.5","0.15","2.19"
"Miles Boykin","BLT","5","WR","10","5","1","113","0","3","1","0","50","17","11.3","22.6","5.6","6","3","3","60","60","100","3","1","30","20","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.3","0.17","6.86"
"Stanley Morgan Jr.","CIN","4","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Trenton Irwin","CIN","1","WR","2","1","0","5","0","0","0","0","50","5.5","2.5","5","1","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0.3","1.5"
"Jeff Smith","NYJ","2","WR","2","1","0","14","0","0","0","0","50","17.5","7","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4","0.05","2.4"
"Tyler Johnson","TB","4","WR","3","2","0","51","0","0","0","0","66.7","20","17","25.5","19","2","1","0","66.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1","0.12","3.55"
"James Proche","BLT","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Braxton Berrios","NYJ","5","WR","16","13","1","171","0","1","1","1","81.3","7.5","10.69","13.15","9","4","3","1","25","23.1","100","1","0","6.3","0","0","2","0","16","0","0","0","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","37.7","1.02","2.51"
"Terry Godwin","JAX","1","WR","4","3","0","32","0","0","0","1","75","10.25","8","10.67","1","1","1","0","25","33.3","0","0","0","0","0","0","1","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5","0.16","1.63"
"Christian Blake","ATL","5","WR","1","1","0","-1","0","0","0","0","100","-1","-1","-1","0","1","1","0","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0.01","0.9"
"D.K. Metcalf","SEA","5","WR","38","25","0","264","0","1","0","2","65.8","11.29","6.95","10.56","3.44","9","3","1","23.7","12","100","2","1","5.3","4","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57.4","0.2","2.3"
"Marquez Valdes-Scantling","GB","5","WR","11","8","1","172","0","2","1","2","72.7","20.09","15.64","21.5","9.5","3","1","1","27.3","12.5","50","0","0","0","0","0","2","0","0","0","0","0","0","1.5","0","0","0","1","0","50","0","0","0","0","0","0","0","37.2","0.19","3.72"
"D.J. Chark Jr.","JAX","4","WR","28","12","0","172","0","1","0","2","42.9","16.89","6.14","14.33","1.33","7","2","1","25","16.7","100","4","1","14.3","8.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.2","0.16","2.93"
"Scotty Miller","TB","4","WR","10","6","1","87","0","1","1","1","60","13.8","8.7","14.5","3.33","4","2","1","40","33.3","100","2","1","20","16.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.7","0.3","3.45"
"Van Jefferson","LA","5","WR","13","8","0","77","0","0","0","1","61.5","10","5.92","9.63","3.88","2","1","0","15.4","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.7","0.12","1.96"
"DaeSean Hamilton","DEN","5","WR","16","8","0","108","0","0","0","1","50","15.25","6.75","13.5","2.13","5","2","0","31.3","25","0","1","0","6.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.8","0.11","2.35"
"Marquez Callaway","NO","2","WR","7","6","0","77","0","0","0","0","85.7","12.57","11","12.83","3.17","2","1","0","28.6","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.7","0.15","2.28"
"Tyrie Cleveland","DEN","2","WR","6","5","0","56","0","0","0","0","83.3","7.67","9.33","11.2","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.6","0.39","2.12"
"Tyron Johnson","LAC","5","WR","18","15","0","178","0","2","0","0","83.3","13.94","9.89","11.87","2.87","4","3","2","22.2","20","100","1","1","5.6","6.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.8","0.23","2.99"
"Diontae Johnson","PIT","5","WR","48","31","2","341","0","3","0","7","64.6","8.85","7.1","11","3.16","9","6","3","18.8","19.4","100","4","3","8.3","9.7","100","1","0","2","0","0","0","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","83.3","0.33","2.6"
"Quintez Cephus","DET","5","WR","12","8","1","175","0","2","1","0","66.7","21.92","14.58","21.88","2.38","4","2","2","33.3","25","100","3","2","25","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","37.5","0.26","4.69"
"Richie James Jr.","SF","5","WR","16","10","1","155","0","0","0","1","62.5","10.25","9.69","15.5","4.8","1","0","0","6.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.5","0.13","2.55"
"Bryan Edwards","LV","5","WR","4","3","0","62","0","1","0","0","75","11","15.5","20.67","9.33","1","1","1","25","33.3","100","1","1","25","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.2","0.17","5.07"
"Austin Mack","NYG","5","WR","4","1","0","9","0","0","0","1","25","11.25","2.25","9","8","2","0","0","50","0","0","2","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.03","1.9"
"Ja'Marcus Bradley","CLV","3","WR","10","5","0","60","0","0","0","0","50","12.3","6","12","2.4","3","1","0","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0.12","2.2"
"Freddie Swain","SEA","5","WR","5","3","0","25","0","1","0","0","60","23.4","5","8.33","1.67","4","2","1","80","66.7","100","1","1","20","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.5","0.1","3.83"
"Darius Slayton","NYG","5","WR","30","12","0","167","0","0","0","2","40","14.77","5.57","13.92","2.58","3","0","0","10","0","0","2","0","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.7","0.11","2.39"
"Penny Hart","SEA","4","WR","1","1","0","3","0","0","0","0","100","-1","3","3","4","0","0","0","0","0","0","0","0","0","0","0","1","0","19","0","0","0","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2","0.09","1.6"
"C.J. Board","NYG","4","WR","2","2","0","14","0","0","0","0","100","2","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4","0.24","1.7"
"Mack Hollins","MIA","5","WR","18","11","0","136","0","0","0","3","61.1","10.83","7.56","12.36","2.27","1","0","0","5.6","0","0","1","0","5.6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","24.6","0.14","2.24"
"Robby Anderson","CAR","4","WR","33","20","0","184","0","1","0","1","60.6","9.76","5.58","9.2","4.55","9","3","1","27.3","15","100","5","0","15.2","0","0","3","0","12","0","0","0","4","1.33","2","0.67","0","0","0","0","0","0","0","0","0","0","0","45.6","0.21","1.98"
"Alex Erickson","CIN","5","WR","14","10","1","122","0","0","0","1","71.4","7.86","8.71","12.2","5.6","1","0","0","7.1","0","0","0","0","0","0","0","2","0","2","0","0","0","1","2","0","0","1","1","0","50","0","0","0","0","0","0","0","22.4","0.15","1.87"
"Mike Thomas","CIN","5","WR","2","0","0","0","0","0","0","0","0","7.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Demarcus Robinson","KC","5","WR","15","13","0","166","0","1","0","0","86.7","8.73","11.07","12.77","5.54","2","1","1","13.3","7.7","100","1","1","6.7","7.7","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.6","0.17","2.74"
"Pharoh Cooper","CAR","4","WR","8","4","0","61","0","0","0","1","50","11.38","7.63","15.25","7.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.1","0.13","2.52"
"Michael Thomas","NO","2","WR","19","17","0","189","1","0","0","0","89.5","9.74","9.95","11.12","2.12","1","1","0","5.3","5.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38.9","0.37","2.29"
"Laquon Treadwell","ATL","4","WR","7","6","0","49","0","2","0","0","85.7","5.57","7","8.17","2.5","5","4","2","71.4","66.7","100","2","1","28.6","16.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.9","0.39","3.82"
"Damiere Byrd","NE","5","WR","20","12","0","102","0","0","0","4","60","9.7","5.1","8.5","3.75","3","0","0","15","0","0","0","0","0","0","0","1","0","4","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","22.6","0.09","1.74"
"Chris Conley","JAX","5","WR","17","13","0","139","0","1","0","1","76.5","10.53","8.18","10.69","3.31","2","1","1","11.8","7.7","100","1","1","5.9","7.7","100","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","32.9","0.28","2.53"
"Nelson Agholor","LV","5","WR","38","19","2","399","2","2","1","3","50","17.87","10.5","21","6.47","13","5","1","34.2","26.3","50","6","0","15.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.9","0.3","4.05"
"DeVante Parker","MIA","3","WR","24","11","0","151","1","0","0","3","45.8","11.04","6.29","13.73","2.55","8","1","0","33.3","9.1","0","6","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29.1","0.18","2.65"
"Amari Cooper","DAL","5","WR","33","21","1","266","1","2","0","1","63.6","9.3","8.06","12.67","6.29","11","3","2","33.3","14.3","100","6","2","18.2","9.5","100","3","0","3","0","0","0","1","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","62.9","0.22","2.62"
"John Brown","BUF","1","WR","4","4","0","72","0","1","0","0","100","18.75","18","18","1","2","2","1","50","50","100","1","1","25","25","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.2","0.57","4.3"
"Allen Robinson II","CHI","5","WR","44","31","0","421","2","1","0","1","70.5","9.66","9.57","13.58","4.23","11","4","1","25","12.9","100","7","1","15.9","3.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.1","0.31","2.75"
"Davante Adams","GB","5","WR","50","41","2","466","3","7","1","1","82","8.02","9.32","11.37","5.32","12","9","6","24","22","85.7","7","4","14","9.8","57.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.6","0.53","3.38"
"Brandin Cooks","HST","4","WR","41","29","1","431","2","3","0","1","70.7","15.12","10.51","14.86","2.72","14","8","3","34.1","27.6","100","6","2","14.6","6.9","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.1","0.42","3.31"
"Mike Evans","TB","4","WR","28","22","0","393","2","2","0","3","78.6","13.46","14.04","17.86","4.55","7","6","2","25","27.3","100","2","1","7.1","4.5","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.3","0.47","3.6"
"DeAndre Hopkins","ARZ","5","WR","57","38","3","440","2","2","0","0","66.7","8.95","7.72","11.58","4.63","11","6","2","19.3","15.8","100","4","1","7","2.6","50","1","0","1","0","0","0","1","3","1","1","2","0","0","0","0","0","0","0","0","0","1","100.1","0.32","2.57"
"T.Y. Hilton","IND","5","WR","36","23","2","354","1","4","1","1","63.9","14.94","9.83","15.39","3.57","13","7","4","36.1","30.4","100","4","2","11.1","8.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","85.4","0.41","3.71"
"Mohamed Sanu","DET","5","WR","20","12","0","146","0","0","0","1","60","15","7.3","12.17","2.58","4","1","0","20","8.3","0","1","0","5","0","0","1","0","3","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","26.9","0.14","2.07"
"Dontrelle Inman","WAS","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Julio Jones","ATL","1","WR","9","6","0","94","0","0","0","1","66.7","14.67","10.44","15.67","5.33","2","0","0","22.2","0","0","2","0","22.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.4","0.24","2.57"
"A.J. Green","CIN","5","WR","23","12","0","166","0","1","0","0","52.2","13.91","7.22","13.83","1.58","7","2","1","30.4","16.7","100","3","1","13","8.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.6","0.14","2.88"
"Andre Roberts","BUF","1","WR","2","2","0","12","0","0","0","0","100","3.5","6","6","2.5","1","1","0","50","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2","0.29","1.6"
"Dez Bryant","BLT","3","WR","3","2","0","19","0","2","0","0","66.7","12.67","6.33","9.5","0","2","2","2","66.7","100","100","2","2","66.7","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.9","0.27","7.95"
"DeSean Jackson","PHI","1","WR","1","1","1","81","0","1","1","0","100","41","81","81","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.1","0.76","15.1"
"Keelan Cole","JAX","5","WR","27","16","0","145","0","1","0","3","59.3","9.59","5.37","9.06","2.44","5","2","1","18.5","12.5","100","2","0","7.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.5","0.15","2.28"
"Steven Sims","WAS","5","WR","18","11","0","91","0","0","0","3","61.1","7.11","5.06","8.27","3.55","1","1","0","5.6","9.1","0","0","0","0","0","0","1","0","18","0","0","0","18","18","2","2","0","0","0","0","0","0","0","0","0","0","0","21.9","0.15","1.82"
"Tre'Quan Smith","NO","3","WR","13","7","0","127","0","1","0","3","53.8","9.54","9.77","18.14","5.14","2","2","1","15.4","28.6","100","1","1","7.7","14.3","100","1","0","3","0","0","0","3","4","1","1","0","0","0","0","0","0","0","0","0","0","0","26","0.18","3.25"
"Anthony Miller","CHI","5","WR","13","12","0","108","0","0","0","0","92.3","6.15","8.31","9","3.92","2","1","0","15.4","8.3","0","0","0","0","0","0","1","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.1","0.15","1.78"
"Allen Lazard","GB","5","WR","19","14","0","156","0","0","0","2","73.7","8.47","8.21","11.14","5.5","3","3","0","15.8","21.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.6","0.14","2.11"
"Cameron Batson","TEN","5","WR","4","4","0","26","0","1","0","0","100","4","6.5","6.5","2.75","2","2","1","50","50","100","1","1","25","25","100","1","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","12.6","0.12","2.52"
"Jakobi Meyers","NE","5","WR","33","23","0","286","1","0","0","1","69.7","9.94","8.67","12.43","4.61","5","2","0","15.2","8.7","0","2","0","6.1","0","0","1","0","7","0","0","0","7","8","1","1","1","0","0","0","0","0","0","0","0","0","0","55.3","0.2","2.3"
"Andy Isabella","ARZ","2","WR","5","2","0","7","0","0","0","0","40","6.2","1.4","3.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7","0.05","1.35"
"River Cracraft","SF","5","WR","4","4","0","28","0","0","0","0","100","5","7","7","2","1","1","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.8","0.12","1.7"
"Russell Gage","ATL","5","WR","40","27","0","315","0","3","0","2","67.5","9.9","7.88","11.67","4.41","8","5","3","20","18.5","100","3","1","7.5","3.7","33.3","1","0","11","0","0","0","11","2","0","0","0","1","0","100","0","0","0","0","0","0","0","77.6","0.28","2.77"
"Lil'Jordan Humphrey","NO","3","WR","5","3","0","46","0","1","0","0","60","12.4","9.2","15.33","3","1","1","1","20","33.3","100","1","1","20","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.6","0.21","4.53"
"Isaiah Wright","WAS","5","WR","8","4","0","29","0","0","0","0","50","7.63","3.63","7.25","5.25","2","1","0","25","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9","0.08","1.73"
"Juwann Winfree","GB","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Jalen Guyton","LAC","5","WR","24","10","1","180","0","0","0","3","41.7","16.79","7.5","18","4.8","9","2","0","37.5","20","0","4","0","16.7","0","0","1","0","4","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","28.4","0.1","2.58"
"Marcus Kemp","MIA","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Noah Brown","DAL","5","WR","10","4","0","53","0","0","0","1","40","12.7","5.3","13.25","5.75","3","0","0","30","0","0","0","0","0","0","0","1","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","9.7","0.18","1.94"
"Isaiah McKenzie","BUF","5","WR","16","14","0","142","0","3","0","1","87.5","7.88","8.88","10.14","4.71","3","3","3","18.8","21.4","100","2","2","12.5","14.3","66.7","4","0","5","0","0","0","1.25","1","1","0.25","0","0","0","0","0","0","0","0","0","0","0","46.7","0.35","2.59"
"Chris Godwin","TB","4","WR","24","16","3","278","1","4","0","0","66.7","15.08","11.58","17.38","4.94","8","5","4","33.3","31.3","100","4","3","16.7","18.8","75","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","70.8","0.33","4.42"
"Cooper Kupp","LA","4","WR","26","26","0","211","0","1","0","0","100","4.54","8.12","8.12","3.65","4","4","1","15.4","15.4","100","1","1","3.8","3.8","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.1","0.27","2.04"
"Curtis Samuel","CAR","4","WR","31","23","1","334","2","0","0","3","74.2","10","10.77","14.52","3.96","7","6","0","22.6","26.1","0","1","0","3.2","0","0","14","1","83","0","0","0","5.93","3.64","4","0.29","1","4","0","28.6","0","0","0","0","0","0","0","70.7","0.37","1.91"
"Jakeem Grant","MIA","3","WR","17","10","0","117","0","0","0","3","58.8","10.35","6.88","11.7","10.3","2","1","0","11.8","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.7","0.24","2.17"
"Tyreek Hill","KC","4","WR","31","19","1","255","0","2","1","5","61.3","12.45","8.23","13.42","6.37","10","5","2","32.3","26.3","100","4","1","12.9","5.3","50","3","0","63","0","1","0","21","11.67","1","0.33","0","0","0","0","0","0","0","0","0","0","0","68.8","0.28","3.13"
"Tyler Boyd","CIN","4","WR","16","7","1","116","0","1","1","1","43.8","10.31","7.25","16.57","17.29","5","0","0","31.3","0","0","1","0","6.3","0","0","1","0","11","0","0","0","11","6","1","1","0","0","0","0","0","0","0","0","0","0","0","25.7","0.19","3.21"
"Adam Humphries","TEN","1","WR","4","1","0","9","0","0","0","1","25","9.75","2.25","9","1","2","1","0","50","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","0.07","1.9"
"Jamison Crowder","NYJ","5","WR","31","24","0","243","0","3","0","1","77.4","7.48","7.84","10.13","5.21","8","5","3","25.8","20.8","100","2","2","6.5","8.3","66.7","1","0","14","0","0","0","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","67.7","0.29","2.71"
"Willie Snead IV","BLT","3","WR","8","5","0","53","0","0","0","1","62.5","9.63","6.63","10.6","2.8","3","1","0","37.5","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3","0.1","2.06"
"Tavon Austin","GB","4","WR","5","5","0","20","0","0","0","0","100","-4.8","4","4","8.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0.23","1.4"
"Danny Amendola","DET","5","WR","24","18","0","191","0","0","0","0","75","9.08","7.96","10.61","4.39","4","2","0","16.7","11.1","0","2","0","8.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37.1","0.25","2.06"
"Ashton Dulin","IND","5","WR","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","0","0","0","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8","0.02","0.8"
"Diontae Spencer","DEN","4","WR","5","2","0","19","0","0","0","0","40","15.8","3.8","9.5","7","1","0","0","20","0","0","1","0","20","0","0","2","0","10","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9","0.11","1.23"
"De'Michael Harris","IND","2","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-3","0","0","0","-3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","-0.3","-0.02","-0.3"
"CeeDee Lamb","DAL","5","WR","30","21","2","285","0","1","1","3","70","11.7","9.5","13.57","5.33","6","2","0","20","9.5","0","2","0","6.7","0","0","3","0","37","0","1","0","12.33","8.33","1","0.33","0","1","1","33.3","100","0","0","0","0","0","0","65.2","0.32","2.72"
"Lynn Bowden Jr.","MIA","5","WR","34","27","0","212","0","0","0","0","79.4","4.74","6.24","7.85","4.37","2","0","0","5.9","0","0","1","0","2.9","0","0","5","0","23","0","0","0","4.6","3.4","5","1","0","2","0","40","0","0","0","0","0","0","0","50.5","0.17","1.58"
