"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Dawson Knox","BUF","5","TE","27","15","0","177","0","2","0","1","55.6","10.11","6.56","11.8","4.67","7","4","2","25.9","26.7","100","3","1","11.1","6.7","50","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","44.7","0.19","2.98"
"Jaeden Graham","ATL","5","TE","2","1","0","7","0","0","0","0","50","1.5","3.5","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7","0.04","1.7"
"Kevin Rader","PIT","1","TE","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Will Dissly","SEA","5","TE","12","10","0","88","0","1","0","1","83.3","3.58","7.33","8.8","6.5","1","1","1","8.3","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.8","0.13","2.48"
"Nate Becker","BUF","1","TE","1","0","0","0","0","0","0","0","0","16","0","0","0","1","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Antony Auclair","TB","2","TE","1","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Ross Dwelley","SF","5","TE","8","8","0","98","0","0","0","0","100","7.75","12.25","12.25","4.5","1","1","0","12.5","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.8","0.1","2.23"
"Pharaoh Brown","HST","4","TE","7","7","0","88","0","1","0","0","100","7.14","12.57","12.57","6","2","2","1","28.6","28.6","100","1","1","14.3","14.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.8","0.25","3.11"
"Colin Thompson","CAR","4","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Johnny Mundt","LA","4","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Robert Tonyan","GB","5","TE","17","15","0","128","0","4","0","0","88.2","6.24","7.53","8.53","3.73","7","6","4","41.2","40","100","4","3","23.5","20","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.8","0.28","3.45"
"Darrell Daniels","ARZ","3","TE","3","2","0","9","0","0","0","0","66.7","1.33","3","4.5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9","0.04","1.45"
"Mo Alie-Cox","IND","5","TE","8","7","0","66","0","0","0","0","87.5","3.63","8.25","9.43","7.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.6","0.1","1.94"
"Jacob Hollister","SEA","5","TE","16","9","0","80","0","2","0","2","56.3","10.56","5","8.89","1","6","2","2","37.5","22.2","100","4","2","25","22.2","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0.15","3.22"
"Ricky Seals-Jones","KC","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Mason Schreck","CIN","5","TE","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Eric Saubert","JAX","5","TE","3","2","0","13","0","0","0","0","66.7","3.67","4.33","6.5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.3","0.06","1.65"
"Jeremy Sprinkle","WAS","5","TE","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"George Kittle","SF","2","TE","14","11","1","160","0","0","0","3","78.6","8.71","11.43","14.55","7.09","1","0","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0.39","2.45"
"Jonnu Smith","TEN","4","TE","16","11","0","110","0","1","0","0","68.8","6.25","6.88","10","4.27","6","3","1","37.5","27.3","100","2","1","12.5","9.1","100","1","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.3","0.15","2.36"
"Gerald Everett","LA","5","TE","23","13","0","119","0","0","0","2","56.5","7.61","5.17","9.15","5.62","4","0","0","17.4","0","0","2","0","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.9","0.1","1.92"
"David Njoku","CLV","5","TE","15","11","0","111","0","0","0","1","73.3","7.27","7.4","10.09","4.73","6","3","0","40","27.3","0","3","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.1","0.12","2.01"
"Evan Engram","NYG","5","TE","32","19","0","178","0","0","0","2","59.4","8.97","5.56","9.37","4.16","4","0","0","12.5","0","0","2","0","6.3","0","0","1","0","5","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","37.3","0.17","1.86"
"Garrett Griffin","NO","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"J.P. Holtz","CHI","5","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
