season,week,model_mae,baseline_mae
2024,1,4.3347484518317065,6.872759462167055
2024,2,3.9618057634118404,7.13324712314888
2024,3,5.114642388375961,8.350876237470203
2024,4,5.692142417543111,5.72662114781431
2024,5,4.757926262280615,6.7127092981159135
2024,6,4.371643411387165,5.393616995102529
2024,7,3.8203100129750878,6.479921900475072
2024,8,4.829817852401196,6.496571467042527
2024,9,4.759285306379264,5.931257009195264
2024,10,4.185197172780975,6.104078596506346
2024,11,4.161913310574135,7.460444407362515
2024,12,6.375443206056165,5.352781956719199
2024,13,5.675281840607959,7.0432839307844075
2024,14,5.194533856201142,4.430823616313424
2024,15,5.405515956019006,7.1954376480512074
2024,16,4.5784160378175365,5.8868958740602935
2024,17,5.443869876778078,6.684367442877355
2024,18,5.274868589915812,8.49531877287263
2024,19,7.494323946870873,6.017738580477641
2024,20,5.7851801356284,6.515644222645247
2024,21,6.513198522198221,7.290552911481416
2024,22,9.555809928361098,5.321482035020988
