season,position,n,scoresense_mae,season_avg_mae,last_game_mae,ffopportunity_mae,espn_mae,fantasypros_mae,site_composite_mae,model_blended_mae
2019,wr,3057,4.545504116863877,5.237258876849455,6.147308217000625,3.13374303140237,6.16169359972049,4.811080827722419,5.4109528212345275,4.563288796624877
2020,wr,3163,4.720856783791886,5.265559601636281,6.359129697671912,3.0508454677028474,7.583255107309524,4.735581394143213,5.559490544446148,4.6908456983420415
2021,wr,3264,4.457194641735042,5.0260507779080585,6.005802049247057,3.1269815942645076,10.347985178782533,4.584929577441977,5.277045590244178,4.465519319174236
2022,wr,3221,4.3602074645961535,4.903495843487282,5.861857433740866,2.9550977875448208,12.458931724863108,4.194803486244517,5.142691994901638,4.34835941068624
2023,wr,3286,4.288916807246946,4.710808804459769,5.5852580688674935,2.928420738668431,8.89895079827053,4.468819894483371,4.903599572011232,4.238527182449729
2024,wr,3220,4.454467121996439,4.766599121550833,5.792731089333323,2.970790291057196,11.878554448117745,4.305999992625437,5.0232180485007705,4.373938380707542
2025,wr,3801,4.048151560932749,4.2601045410662834,5.1093330110652975,2.8623441320293397,3.018494044538462,,4.469903613809823,3.9686620527340097
