season,week,model_mae,baseline_mae
2024,1,4.16008322978704,5.407429695448136
2024,2,4.619839203140512,5.567032223081459
2024,3,4.349633078112478,5.453346228946454
2024,4,4.147745289253973,4.582310850041594
2024,5,4.804347855381898,5.262546281786125
2024,6,4.347464701238885,4.944631636132195
2024,7,4.450246179157316,4.65856120960728
2024,8,4.633320615447782,4.748007470165061
2024,9,4.65201682849045,4.527934546213535
2024,10,3.8129649598779802,4.395938672637844
2024,11,5.062498341968063,5.027990376271689
2024,12,4.478637002615673,4.324257953823752
2024,13,4.373987577610637,4.268841776299784
2024,14,4.75529814242043,4.763799919984253
2024,15,4.409495680723852,4.537143979304256
2024,16,4.039492461778992,3.9178734355267952
2024,17,4.95216213927583,4.885353402295401
2024,18,4.668130658652471,4.510112097334818
2024,19,4.200953981842239,4.466870376442229
2024,20,5.155777570570766,4.7286081142627445
2024,21,5.527190245046647,4.341127621537332
2024,22,4.6193990266065486,4.915898160248444
