season,position,n,scoresense_mae,season_avg_mae,last_game_mae,ffopportunity_mae,espn_mae,fantasypros_mae,site_composite_mae,model_blended_mae
2019,rb,1400,4.58371904770467,5.352329681869355,6.291754687810023,2.967819873860387,,4.743637283408473,5.5369299055212835,4.560488453530707
2020,rb,1472,4.678793538194117,5.254618525908765,6.1588839556668,2.8462160367429585,,4.495000018991952,5.45695599368542,4.6138342326024295
2021,rb,1470,4.6880977744643175,5.427037994431421,6.332362549454566,2.788040810080613,,4.605284779672197,5.598055638132334,4.65299111323877
2022,rb,1482,4.457996266154553,5.1963758067586046,5.97746195579803,2.8125540661527904,,4.192030462540951,5.304703438044205,4.422445205979829
2023,rb,1423,4.414694639464669,4.859520610521764,5.614085006159905,2.7763361397085897,,,4.968655746709041,4.299075519266783
2024,rb,1414,4.414142247810372,5.0362359314124925,5.767619912853983,2.762776207543762,,4.015890419777126,5.1307112641210955,4.338997457075989
2025,rb,1637,4.178737371619262,4.487335651847967,5.428707317682979,3.052588904694168,,,4.728022030306947,4.138342545928783
