season,week,model_mae,baseline_mae
2024,1,4.246759426646207,6.581742476267987
2024,2,3.5541626682223457,5.1509087094489265
2024,3,4.80794990879118,6.064704875417409
2024,4,4.563304224695713,5.1124160109630115
2024,5,4.58684469818543,5.335012713775916
2024,6,5.29174008606362,6.160257940926486
2024,7,4.735098889164644,5.213587449002178
2024,8,4.343388936285701,4.418562218894723
2024,9,4.776254297417021,4.820651089490798
2024,10,3.608416129483537,4.557620179009549
2024,11,4.298820693143369,4.406240346775551
2024,12,4.55312962383003,4.955286980632276
2024,13,4.0964297544466355,4.359648505642005
2024,14,5.503052891863187,5.290980031093458
2024,15,4.267629784875942,4.771403033496245
2024,16,4.61053906016064,4.997727133078295
2024,17,3.511666418100324,4.013266740582888
2024,18,4.584076914600079,4.558309037602889
2024,19,3.611234995214063,4.0455372024321905
2024,20,5.594083912489485,5.1997645536790715
2024,21,6.006515664493033,5.537919717497929
2024,22,3.9377642893052807,5.663976698577055
