season,week,model_mae,baseline_mae
2024,1,4.494485355896294,6.581742476267987
2024,2,4.054527100075449,5.1509087094489265
2024,3,4.867073651967364,6.064704875417409
2024,4,4.709468296718556,5.1124160109630115
2024,5,4.891382394644731,5.335012713775916
2024,6,5.494319203939491,6.160257940926486
2024,7,5.074895925067599,5.213587449002178
2024,8,4.733249465346019,4.418562218894723
2024,9,5.030170864784463,4.820651089490798
2024,10,4.191569011455215,4.557620179009549
2024,11,4.818763947200309,4.406240346775551
2024,12,5.31090929460665,4.955286980632276
2024,13,4.232566465853262,4.359648505642005
2024,14,5.745987536869816,5.290980031093458
2024,15,4.45765930801144,4.771403033496245
2024,16,4.9325606024157125,4.997727133078295
2024,17,4.07098175986636,4.013266740582888
2024,18,4.709402440183639,4.558309037602889
2024,19,4.335032714824918,4.0455372024321905
2024,20,5.899590491080684,5.1997645536790715
2024,21,6.701396375960973,5.537919717497929
2024,22,5.127590677714861,5.663976698577055
