season,week,model_mae,baseline_mae
2024,1,4.3931229287514375,5.407429695448136
2024,2,4.9173607675139035,5.567032223081459
2024,3,4.646867032328347,5.453346228946454
2024,4,4.472365495768402,4.582310850041594
2024,5,4.833245042853921,5.262546281786125
2024,6,4.461146597143235,4.944631636132195
2024,7,4.61443313386737,4.65856120960728
2024,8,4.712283520160068,4.748007470165061
2024,9,4.931790601325971,4.527934546213535
2024,10,4.031888413639112,4.395938672637844
2024,11,5.284920060741293,5.027990376271689
2024,12,4.670424872794992,4.324257953823752
2024,13,4.489129821323814,4.268841776299784
2024,14,5.093093070628013,4.763799919984253
2024,15,4.612312958354067,4.537143979304256
2024,16,4.186010183345229,3.9178734355267952
2024,17,5.164493502355091,4.885353402295401
2024,18,4.6589936621901415,4.510112097334818
2024,19,4.636978515272587,4.466870376442229
2024,20,5.267562892609171,4.7286081142627445
2024,21,6.092030982674001,4.341127621537332
2024,22,5.310450476523081,4.915898160248444
