season,week,model_mae,baseline_mae
2024,1,4.631060812347064,6.872759462167055
2024,2,3.913840576293575,7.13324712314888
2024,3,4.981358599013198,8.350876237470203
2024,4,5.7904802883251545,5.72662114781431
2024,5,4.674692872889292,6.7127092981159135
2024,6,4.899373714719582,5.393616995102529
2024,7,3.953805538302448,6.479921900475072
2024,8,4.64343495148116,6.496571467042527
2024,9,4.727675661448924,5.931257009195264
2024,10,4.393385482944516,6.104078596506346
2024,11,4.760169044225041,7.460444407362515
2024,12,6.042017111481299,5.352781956719199
2024,13,5.680789750171692,7.0432839307844075
2024,14,5.185838702857233,4.430823616313424
2024,15,5.693565930518574,7.1954376480512074
2024,16,4.6721565114704,5.8868958740602935
2024,17,5.251705325660779,6.684367442877355
2024,18,5.260218859372529,8.49531877287263
2024,19,7.184244537317111,6.017738580477641
2024,20,5.297643611098816,6.515644222645247
2024,21,5.802039281681861,7.290552911481416
2024,22,8.307730467649158,5.321482035020988
