season,week,receiver_player_id,receiver,receiver_player_name,targets,avg_air_yards,avg_cpoe,avg_xyac_epa,target_quality_score,td_rate
2024,20,00-0036550,R.Bateman,R.Bateman,5,17.2,25.465681,0.8472946,1.0113674,0.2
2024,20,00-0034351,D.Goedert,D.Goedert,4,6.5,27.803818,0.53128195,0.94144446,0.0
2024,20,00-0035537,Ty.Johnson,Ty.Johnson,1,0.0,27.21597,1.0218937,0.9001752,0.0
2024,20,00-0030506,T.Kelce,T.Kelce,8,8.375,20.662477,0.66910756,0.8662689,0.125
2024,20,00-0037838,I.Likely,I.Likely,6,17.4,25.912683,0.6785591,0.8135842,0.16666667
2024,20,00-0032464,K.Raymond,K.Raymond,3,4.3333335,21.377867,0.61901766,0.78619456,0.0
2024,20,00-0036637,N.Gray,N.Gray,3,3.3333333,30.047724,1.0533594,0.72806907,0.0
2024,20,00-0033282,C.Samuel,C.Samuel,2,1.5,23.770529,0.6294463,0.69533044,0.0
2024,20,00-0034844,S.Barkley,S.Barkley,4,0.0,19.807629,0.7015813,0.54469466,0.0
2024,20,00-0039901,K.Coleman,K.Coleman,1,3.0,22.248417,0.55474734,0.52110165,0.0
2024,20,00-0033908,C.Kupp,C.Kupp,7,14.142858,12.060216,0.54976135,0.51736736,0.0
2024,20,00-0036963,A.St. Brown,A.St. Brown,10,8.9,9.0561905,0.64538217,0.50953054,0.0
2024,20,00-0037261,K.Shakir,K.Shakir,7,7.142857,13.919278,0.9406989,0.5051516,0.0
2024,20,00-0033699,A.Ekeler,A.Ekeler,4,-3.25,12.453309,1.316208,0.46903157,0.0
2024,20,00-0036912,D.Smith,D.Smith,4,2.25,20.139393,0.66171926,0.45876503,0.0
2024,20,00-0036626,D.Brown,D.Brown,8,12.0,10.178727,0.8141856,0.43665844,0.0
2024,20,00-0034975,J.Hill,J.Hill,2,-1.0,19.41318,0.6448464,0.41039672,0.0
2024,20,00-0036919,K.Gainwell,K.Gainwell,1,-4.0,11.84029,0.9166635,0.39720258,0.0
2024,20,00-0039894,X.Worthy,X.Worthy,6,1.5,9.706352,1.3287797,0.3676477,0.0
2024,20,00-0037248,J.Cook,J.Cook,3,-2.6666667,16.977125,0.99493074,0.36746132,0.0
2024,20,00-0038618,X.Hutchinson,X.Hutchinson,6,10.0,8.6434765,0.4904133,0.32143587,0.0
2024,20,00-0034970,I.Smith,I.Smith,1,2.0,18.7563,0.7072168,0.31076404,0.0
